symbol,action,date,price,shares,pnl_pct,reason,entry_date,entry_price
300411,BUY,20240318,9.7,1300,0.0,REBALANCE,20240318,9.7
600818,BUY,20240318,19.18,600,0.0,REBALANCE,20240318,19.18
301183,BUY,20240318,60.9,200,0.0,REBALANCE,20240318,60.9
300290,BUY,20240318,8.29,1600,0.0,REBALANCE,20240318,8.29
300067,BUY,20240318,4.3,3000,0.0,REBALANCE,20240318,4.3
000628,BUY,20240318,83.0,100,0.0,REBALANCE,20240318,83.0
301202,BUY,20240318,44.66,200,0.0,REBALANCE,20240318,44.66
603580,BUY,20240318,24.51,500,0.0,REBALANCE,20240318,24.51
603499,BUY,20240318,17.42,700,0.0,REBALANCE,20240318,17.42
002611,BUY,20240318,7.8,1700,0.0,REBALANCE,20240318,7.8
300781,BUY,20240318,56.0,200,0.0,REBALANCE,20240318,56.0
002902,BUY,20240318,33.3,300,0.0,REBALANCE,20240318,33.3
603516,BUY,20240318,29.5,400,0.0,REBALANCE,20240318,29.5
300530,BUY,20240318,25.38,500,0.0,REBALANCE,20240318,25.38
002085,BUY,20240318,12.29,1000,0.0,REBALANCE,20240318,12.29
603499,SELL,20240318,17.65,700,1.3203214695751828,TRAILING_STOP,20240318,17.42
300781,SELL,20240318,62.46,200,11.535714285714286,TRAILING_STOP,20240318,56.0
300530,SELL,20240318,25.53,500,0.5910165484633654,TRAILING_STOP,20240318,25.38
300411,SELL,20240319,11.04,1300,13.814432989690722,TRAILING_STOP,20240318,9.7
300290,SELL,20240319,9.63,1600,16.164053075995195,TRAILING_STOP,20240318,8.29
300067,SELL,20240319,4.42,3000,2.7906976744186074,TRAILING_STOP,20240318,4.3
000628,SELL,20240319,89.0,100,7.228915662650602,TRAILING_STOP,20240318,83.0
301202,SELL,20240319,43.4,200,-2.8213166144200583,TRAILING_STOP,20240318,44.66
600818,SELL,20240320,22.49,600,17.257559958289878,TRAILING_STOP,20240318,19.18
002611,SELL,20240321,8.74,1700,12.051282051282056,TRAILING_STOP,20240318,7.8
002902,SELL,20240321,34.17,300,2.6126126126126263,TRAILING_STOP,20240318,33.3
603580,SELL,20240322,30.01,500,22.439820481436147,TRAILING_STOP,20240318,24.51
603516,SELL,20240322,29.29,400,-0.7118644067796639,REBALANCE,20240318,29.5
301183,SELL,20240322,57.64,200,-5.353037766830867,REBALANCE,20240318,60.9
600083,BUY,20240325,11.89,1100,0.0,REBALANCE,20240325,11.89
300411,BUY,20240325,13.05,1000,0.0,REBALANCE,20240325,13.05
603879,BUY,20240325,8.55,1600,0.0,REBALANCE,20240325,8.55
300975,BUY,20240325,13.0,1000,0.0,REBALANCE,20240325,13.0
600818,BUY,20240325,21.19,600,0.0,REBALANCE,20240325,21.19
300290,BUY,20240325,10.18,1300,0.0,REBALANCE,20240325,10.18
603327,BUY,20240325,19.82,700,0.0,REBALANCE,20240325,19.82
300133,BUY,20240325,10.3,1300,0.0,REBALANCE,20240325,10.3
688668,BUY,20240325,71.7,100,0.0,REBALANCE,20240325,71.7
603533,BUY,20240325,35.74,300,0.0,REBALANCE,20240325,35.74
603580,BUY,20240325,30.99,400,0.0,REBALANCE,20240325,30.99
300913,BUY,20240325,46.94,300,0.0,REBALANCE,20240325,46.94
002611,BUY,20240325,8.2,1700,0.0,REBALANCE,20240325,8.2
600580,BUY,20240325,17.53,800,0.0,REBALANCE,20240325,17.53
002085,SELL,20240325,14.43,1000,17.412530512611884,TRAILING_STOP,20240318,12.29
300411,SELL,20240325,13.63,1000,4.444444444444445,TRAILING_STOP,20240325,13.05
603879,SELL,20240325,8.49,1600,-0.701754385964918,TRAILING_STOP,20240325,8.55
300975,SELL,20240325,13.5,1000,3.8461538461538463,TRAILING_STOP,20240325,13.0
300290,SELL,20240325,9.86,1300,-3.1434184675834995,TRAILING_STOP,20240325,10.18
688668,SELL,20240325,64.66,100,-9.818688981868906,STOP_LOSS,20240325,71.7
603533,SELL,20240325,30.55,300,-14.521544487968665,STOP_LOSS,20240325,35.74
300913,SELL,20240325,42.82,300,-8.777162334895607,STOP_LOSS,20240325,46.94
300133,SELL,20240326,9.24,1300,-10.291262135922334,STOP_LOSS,20240325,10.3
603580,SELL,20240326,29.71,400,-4.130364633752816,TRAILING_STOP,20240325,30.99
600083,SELL,20240327,10.09,1100,-15.13877207737595,STOP_LOSS,20240325,11.89
002611,SELL,20240327,7.24,1700,-11.70731707317072,STOP_LOSS,20240325,8.2
600580,SELL,20240327,15.85,800,-9.583571021106682,STOP_LOSS,20240325,17.53
600818,SELL,20240329,21.99,600,3.7753657385559087,MARKET_EXIT,20240325,21.19
603327,SELL,20240329,21.0,700,5.9535822401614515,MARKET_EXIT,20240325,19.82
688631,BUY,20240429,83.9,100,0.0,REBALANCE,20240429,83.9
300107,BUY,20240429,9.97,1300,0.0,REBALANCE,20240429,9.97
001696,BUY,20240429,12.94,1000,0.0,REBALANCE,20240429,12.94
000737,BUY,20240429,10.63,1200,0.0,REBALANCE,20240429,10.63
300905,BUY,20240429,28.23,400,0.0,REBALANCE,20240429,28.23
300690,BUY,20240429,27.34,400,0.0,REBALANCE,20240429,27.34
301091,BUY,20240429,44.07,300,0.0,REBALANCE,20240429,44.07
000099,BUY,20240429,22.47,600,0.0,REBALANCE,20240429,22.47
300719,BUY,20240429,20.9,600,0.0,REBALANCE,20240429,20.9
603017,BUY,20240429,13.01,1000,0.0,REBALANCE,20240429,13.01
300711,BUY,20240429,20.05,600,0.0,REBALANCE,20240429,20.05
300641,BUY,20240429,14.8,900,0.0,REBALANCE,20240429,14.8
300284,BUY,20240429,9.35,1400,0.0,REBALANCE,20240429,9.35
